ID,SMILES,ADMET_Solubility_Level,ADMET_Unknown_AlogP98,ADMET_BBB_Level,ADMET_EXT_CYP2D6#Prediction,ADMET_EXT_Hepatotoxic#Prediction,ADMET_Absorption_Level,ADMET_EXT_PPB#Prediction
sp63,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6[C@H](COc6ccnc(n6)C(F)(F)F)CC7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp64,Fc1ccc2cccc(-c3nc4CC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COc7ccnc(n7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp65,Fc1ccc2cccc(-c3nc4CC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COc7cc(ncn7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp66,Fc1ccc2cccc(-c3nc4CCC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COc7cc(ncn7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp67,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6[C@H](COc6cnc(cn6)C(F)(F)F)CC7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp68,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6[C@H](COCC(F)(F)F)CC7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp69,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CC8CC8C7)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp70,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CCC8(CC8)CC7)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp71,Oc1cc(-c2nc3CC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OCC6(CN7CC8CC(C8)C7)CC6)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
sp72,Oc1cc(-c2nc3CCCC[C@@H]4[C@@H]5CC[C@H](CN4c4nc(OC[C@@]67CCCN6C[C@H](F)C7)nc(c2F)c34)N5)c2c(C#C)c(F)ccc2c1,0,0,4,TRUE,TRUE,3,TRUE
