SMILES,ID
COc1ccc(cc1)C[C@@H]1N=C(O)/C(=C/[C@H]2CSC(=N2)[C@@H](C)[C@@H](O)C[C@H](C)C[C@H](OC(=O)[C@H]2N(C(=O)[C@@H](N(C(=O)[C@@H](N(C1=O)C)C)C)[C@H](CC)C)CCC2)C(C)(C)C)/C,NPC184933
CC1=C2[C@H]([C@@H]([C@]3(C)CC[C@@H]([C@@]4(CO4)[C@H]3[C@@H]([C@H](C[C@@H]1OC(=O)C)C2(C)C)OC(=O)C)OC(=O)/C=C/c1ccccc1)O)OC(=O)C,NPC258113
C#CCCC[C@@H]1[C@H](C)C(=N[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]2C(=N[C@@H]([C@@H](C)CC)C(=O)O1)O)O,NPC93378
CC12CC=C3CC(OCC3(C1CC(C4(C2CCC56C4(C5)CCC6C7C(C8(CC(CO8)(C)OC)OC7=O)O)C)O)C)C9=CC1=C(C=C9)OCO1,NPC475244
CC[C@@H](C)[C@H]1C(=O)N(C)[C@@H](C)C(=O)O[C@@H]([C@@H](C)CC)[C@@H](C)[C@H](C/C=C(\C)/C(=O)O[C@H]([C@@H](C)CC)C(=N[C@@H](C)C(=O)N(C)[C@H](Cc2ccccc2)C(=O)N(C)CC(=N1)O)O)O,NPC135121
Cc1c(cco1)[C@H]1CC[C@H]2[C@@H](CC=C3C[C@H]([C@@H](C[C@]23C)O)O[C@H]2C[C@H]([C@@H]([C@@H](C)O2)O[C@H]2C[C@@H]([C@@H]([C@@H](C)O2)O[C@H]2C[C@H]([C@H]([C@H](C)O2)O)OC)O)OC)C1=O,NPC237685
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC1=C[C@H]2[C@@H]3C(C)(C)[C@@]3([C@@H]([C@@H](C)[C@@]2([C@@H]2C=C(C)C(=O)[C@]2(C1)O)O)O)OC(=O)C,NPC162009
COC1=CC(=CC(=C1OC)O)C2CCC3=C(O2)C(=C(C=C3C4=CC(=C(C5=C4CCC(O5)C6=CC(=C(C(=C6)OC)OC)O)O)OC)OC)O,NPC321657
CCCCCCCCCCCCC[C@H]([C@H]1CC[C@H]([C@@H](CCCC[C@@H](CCCCCC2CC(CC(=O)C)C(=O)O2)O)O)O1)O,NPC482767
CCCCCCC[C@@H](C/C=C/CCC(=O)N(C/C(=C\Cl)/CC(=O)CC(=NC[C@@H](CC(=O)OC)O)O)C)OC,NPC233932
CC(=CC[C@@H]1C[C@]23C[C@H](CCC(C)(C)O)C(C)(C)OC2=C(C(=O)c2ccc(c(c2)O)O)C(=O)[C@@](CC=C(C)C)(C3=O)C1(C)C)C,NPC231479
CC(=O)O[C@@H]1CC[C@]2([C@H](C1(C)C)CCC1=C2CC[C@]2([C@@]1(C)CC[C@@H]2[C@H](C(=O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O)C/C=C(\C(=C)C)/C)C)C,NPC292196
COc1cc2CCN([C@H]3c2cc1Oc1cc(ccc1O)C[C@H]1N(C)CCc2c1c1Oc4ccc(C3)cc4COc1c(c2)OC)C,NPC206900
CC(=O)OC(C)(C)CCC(=O)[C@@](C)([C@H]1[C@@H](C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(C(=O)C4(C)C)O)[C@]3(C)C(=O)C[C@]12C)O)O,NPC304495
COc1cc2CCN=C3c2c(c1OCc1ccc(cc1)C[C@H]1N(C)CCc2c1c(Oc1ccc(C3)cc1)c(OC)c(c2)OC)O,NPC234318
C/C(=C\C(=O)O[C@@H]1C[C@@H]2[C@@H](C)CN(C)C[C@@H]2[C@H]1C)/CC[C@H]1[C@@H]([C@@H](c2ccc(c(c2)OC)O)[C@]1(C)C(=O)O[C@@H]1C[C@@H]2[C@@H](C)CN(C)C[C@@H]2[C@H]1C)C(=O)O[C@@H]1C[C@@H]2[C@@H](C)CN(C)C[C@@H]2[C@H]1C,NPC153943
CN1CCc2cc(c(cc2C1Cc1ccc(c(c1)Oc1cc(ccc1OC)CC1c2cc(c(cc2CCN1C)OC)O)O)O)OC,NPC480592
CC(=CC[C@H]1C[C@]2(C[C@@H](C(C)(C)O)O)C(=O)C(=C3[C@@](C(=O)c4ccccc4)(C2=O)[C@]1(C)CC[C@@H](C(C)(C)O)O3)CC=C(C)C)C,NPC483099
CCCCCCCCCC/C=C/C=C\[C@@]12O[C@H]3[C@@](O1)(C[C@H]([C@@]1(O2)[C@H]3[C@@H]2O[C@@]2([C@H]([C@]2([C@H]1C=C(C2=O)C)O)O)CO)C)C(=C)C,NPC473485
c1ccc(cc1)C(=O)Oc1c(c2ccc(cc2)O)c(c(c(c2ccc(cc2)O)c1O)OC(=O)c1ccccc1)OC(=O)c1ccccc1,NPC163397
COc1ccc(cc1)[C@@H]1[C@H]([C@@H]2C(=O)c3c(cc(cc3O[C@@H]2c2ccc(cc2)OC)O)O)C(=O)c2c(cc(cc2O1)O)O,NPC211668
CC(=CCC1=C2C(=C(C3=C1OC45C6CC(C=C4C3=O)(C(=O)C5(OC6(C)C)CC=C(C)C(=O)O)OC)O)C7CC(O2)(CCC7C(=C)C)C)C,NPC476139
CN1CCc2cc(c3cc2[C@@H]1Cc1ccc(c(c1)Oc1ccc(cc1)C[C@@H]1c2c(CCN1C)cc(c(c2O3)O)OC)O)OC,NPC54583
C=C(C)[C@]12C[C@@H](C)[C@@]34[C@@H](C=C(C[C@]5([C@H]3C=C(C)C5=O)O)COC(=O)Cc3ccc(c(c3)OC)O)[C@H]1O[C@](Cc1ccccc1)(O2)O4,NPC108191
OC1=N[C@@H](C(C)C)c2scc(n2)C(=O)O[C@@H](CCCC(Cl)(Cl)C)C(C(=O)O[C@H](C2=N[C@H](C(=NC1)O)CS2)C(O)(C)C)(C)C,NPC475554
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)O[C@@H](Cc1ccccc1)C(=O)O)OC)OC)N(C)C(=O)[C@H](C(C)C)N=C([C@H](C(C)C)N(C)C)O,NPC162104
CC(C)C(=O)O[C@@H]1Cc2cc3C[C@@H](C)OC(=O)c3c(c2-c2c1c(c1c(C(=O)c3cccc(c3C1=O)O)c2O)OC)O,NPC489814
CCOC1C2CC3C(OC(C2=O)(C34C1C(=O)C5=C(O4)C(=C6C(=C5O)C7C=C(CCC7C(O6)(C)C)C)C(C)(C)C=C)CC=C(C)C(=O)O)(C)C,NPC319676
CC(=CC[C@]12C(=O)C(=C([C@@](C1=O)(CC(C(=C)C)C[C@H](C(=C)C)O)C[C@H](C2(C)C)CC=C(C)C)O)C(=O)c1ccc(c(c1)O)O)C,NPC471971
CC1CCC2CC(CC(O2)(CC(=O)OC(CC1O)(C)CCC=CC=CBr)O)OC3C(C(C(C(O3)C)OC)OC)OC,NPC469871
CCCC(=O)O[C@H]1C[C@@]2([C@H]([C@H]1C(C)C)[C@H]1C=C(C)[C@@H]([C@@H]([C@H]([C@@]1(C[C@@H]2OC(=O)C)C)OC(=O)CCC)OC(=O)C)O)C,NPC473694
CCCCCCCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCC(CCC3=CC(OC3=O)C)O)O)O,NPC473649
CN1CCc2cc(c3cc2[C@H]1Cc1ccc(c(-c2cc(ccc2O)C[C@H]2c4c(CCN2C)cc(c(c4O3)OC)OC)c1)OC)OC,NPC16357
CC(C)C[C@H]1CC(=O)OC2C(/C(=C/Cc3ccc(C4=NC(/C=C\5/C(=C(\C)/CCCOC)/COC5CC(C)C)C(COC1=O)O4)[nH]3)/C)OC(=O)C2(C)CO,NPC485621
CN1CCc2cc(c3cc2[C@@H]1Cc1ccc(cc1)Oc1cc(ccc1O)C[C@@H]1c2c(CCN1C)cc(c(c2O3)O)OC)OC,NPC181796
COC1=CC=CC2=C1N3CC4(CC5C3(C26CCN7C6C8(C5)CCCC8CC7)O)C9C1(CCO9)CC(=C2C3(C1N(C4O)CC3)C1=CC=CC=C1N2)C(=O)OC,NPC469452
C=C(C)C12CC(C)C34C(C=C(CC5(C3C=C(C)C5=O)O)COC(=O)Cc3ccc(cc3)O)C1OC(Cc1ccccc1)(O2)O4,NPC228256
C=C1CC[C@H]2[C@@](C)(CCC[C@]2(C)[C@H]1CO[C@H]([C@H](CC(=O)O)C(=O)OC[C@]1(C)CCC[C@]2(C)[C@@H](CO[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)OC)C(=C)CC[C@@H]12)C(=O)OC)CO,NPC190757
CCC[C@H]1OC(=O)[C@@H](N=C(O)[C@@H](C(C)C)N(C)C(=O)[C@H]2N(C(=O)[C@@H](OC(=O)[C@@H](OC(=O)C1(C)C)C)Cc1ccccc1)CCC2)C(C)C,NPC145113
CC=CC(=O)CC1CCC(C(O1)CC(=O)NCC(C(C)C(=O)NCCCC2C(CCC3(O2)CCCC(O3)CCC(C)C=C(C)C(=O)C)C)O)C,NPC473578
CC(C)[C@H]1C(=O)N(C)[C@@H](C)C(=N[C@@H](C)C(=O)O[C@@H](CC(=O)O[C@@H](CC(=O)O1)c1ccccc1)c1ccccc1)O,NPC71041
COc1cc(ccc1O)[C@H]1[C@@H]2[C@H](CC(=O)CCc3ccc(cc3)O)O[C@@H](c3ccc(c(c3)OC)O)[C@@H]2[C@H](CC(=O)CCc2ccc(cc2)O)O1,NPC485983
CC1CCCC(C(=O)CC(C(=O)CC2(C(CC(=C3C2C=C(CCC4C(CCC(O4)C(CC3O)(C)O)(C)OC(=O)C)C)C)C(=O)C1)C(=O)OC)C(C)C)C,NPC470104
CC1CC(=CC=CC(C(OC(=O)C(=CC(=CC(C1O)C)C)C)C(C)C(C(C)C(=O)C=CC(C)C(C(C)C)O)O)OC)C,NPC469366
CCC(C)C(C(=O)OC1CC2(C(CC=C2C3(C1C(C(CC3OC(=O)C(C(=CC)C)O)C(C)(C)O)(C)CCC(=O)O)C)C4CC(OC4)C=C(C)C)C)O,NPC473553
CCCCCCC(CCCC(C1CCC(O1)C2CCC(O2)C(CCCCCCCCCCCCC3=CC(OC3=O)C)O)O)O,NPC475268
CCCC(=O)O[C@@H]1[C@H](C(C)C)[C@H]2[C@]([C@H]1OC(=O)CCC)(C)[C@@H](OC(=O)C)C[C@@]1([C@@H]2C=C(C)[C@@H]([C@@H]([C@H]1OC(=O)CCC)OC(=O)C)O)C,NPC80809
C=CC1CN(C)[C@@H]2C([C@@H]1C[C@@H](c1c(OC)ccc3c1[nH]c1c3CCN3[C@@H]4[C@]1(C[C@H](C[C@@H]4CC)C3)C(=O)OC)c1c(C2)c2c([nH]1)cccc2)C(=O)OC,NPC81939
CCCCCCCC1=CO[C@]2([C@@]3(C(=C[C@](C[C@]13C(=O)OC)(C(=O)OC)[C@@]12Oc2cc(C)cc(c2C(=O)O1)O)OC)Cl)O,NPC484596
CCC1=C[C@H]2C[C@](c3cc4c(cc3OC)N(C)[C@@H]3[C@@]54CCN4CC=C[C@](CC)([C@@H]54)[C@H]([C@@]3(C(=O)OC)O)OC(=O)C)(c3c(CN(C1)C2)c1ccccc1[nH]3)C(=O)OC,NPC302688
CCCCCCCCCCCCCCCC(=O)OC[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O[C@H]1[C@@H](C=C2CCN3Cc4cc5c(cc4[C@H]1[C@H]23)OCO5)O)O)O)O,NPC132158
C[C@H]1/C=C/C(C)(C)[C@@H](C[C@H](/C(=C/[C@H]2[C@H]([C@@H](C)C[C@@]2([C@H]1OC(=O)C)O)OC(=O)c1ccccc1)/C)OC(=O)C)OC(=O)C,NPC233860
CCCCCCCCCCCC[C@H]([C@@H](CC[C@@H]([C@H]1CC[C@@H](CCCCCCC[C@@H](CC2=C[C@@H](C)OC2=O)O)O1)O)O)O,NPC157764
CN1CCc2cc(c3cc2[C@H]1Cc1ccc(c(c1)Oc1ccc(cc1)C[C@H]1c2c(CCN1C)cc1c(c2O3)OCO1)O)OC,NPC24260
COc1ccc(cc1c1c(OC)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O)c1cc(=O)c2c(o1)cc(cc2O)OC,NPC159707
